var_name,dtype
Parcel_ID,object
CM_ID,object
ST_NUM,object
ST_NAME,object
ST_NAME_SUF,object
UNIT_NUM,object
ZIPCODE,object
full_address,object
PTYPE,float64
LU,object
OWN_OCC,object
OWNER,object
Owner_MAIL_ADDRESS,object
Owner_MAIL_CS,object
Owner_MAIL_ZIPCODE,object
AV_LAND,object
AV_BLDG,int64
AV_TOTAL,int64
GROSS_TAX,int64
LAND_SF,float64
YR_BUILT,int64
YR_REMOD,int64
GROSS_AREA,float64
LIVING_AREA,float64
NUM_FLOORS,float64
STRUCTURE_CLASS,object
R_BLDG_STYL,object
R_ROOF_TYP,object
R_EXT_FIN,object
R_TOTAL_RMS,float64
R_BDRMS,float64
R_FULL_BTH,int64
R_HALF_BTH,int64
R_KITCH,int64
R_HEAT_TYP,object
R_AC,object
R_FPLACE,float64
S_NUM_BLDG,float64
S_BLDG_STYL,object
S_UNIT_RES,float64
S_UNIT_COM,float64
S_UNIT_RC,int64
S_EXT_FIN,object
U_BASE_FLOOR,float64
U_CORNER,object
U_ORIENT,object
U_TOT_RMS,object
U_BDRMS,float64
U_FULL_BTH,float64
U_HALF_BTH,float64
U_KIT_TYPE,object
U_HEAT_TYP,object
U_AC,object
U_FPLACE,object
Location,object
Unnamed: 55,object
